MOF,Eads_CO2/eV,Eads_H2O/eV
IPIDUH,-1.98041987,0.31751977
KOQLUZ,-1.49635159,0.69712927
LEWZET,-0.8870675,0.80616646
cm503311x_alf175K,-0.63812715,0.47765209
TONWUO,-1.71263112,-0.62557754
EGIFUV,-1.44609121,-0.40792371
ZIDBEV,-1.91221869,-0.91204359
PETWIW,-0.71698749,0.2753331
XAZGAG_charged,-1.56170759,-0.58528762
GOSBOH,-1.21850209,-0.43421123
ODIXEG,-0.93516622,-0.23659889
KEHGIP,-1.48768923,-0.8169231
DEJRUH,-0.9813025,-0.38066254
TIDLID,-1.10334528,-0.51869665
NAYHAY,-1.61222512,-1.02882299
KEHGAH_charged,-1.10055831,-0.51940703
ZAGHAT,-1.59967388,-1.04951885
CUQXUI,-1.10064083,-0.56283407
HOMRIL,-0.96677131,-0.50726809
XANMUX04,-0.76936544,-0.32448979
UCOCUM_neutral,-0.65162324,-0.20722354
VAXMUF,-1.0019096,-0.57361177
DEBWAK,-0.72556114,-0.31883467
ADOCEC,-0.61746851,-0.28309274
cm503311x_alf425K,-0.55299683,-0.22584954
MALRUM,-0.91451782,-0.6095051
TIDLEZ,-0.84414531,-0.54063649
QOVSOL,-0.92554961,-0.62650711
cm503311x_alf400K,-0.67028052,-0.40488553
QEFNAQ,-0.57330367,-0.31982005
FECXES,-0.6374399,-0.38775154
DITYOW,-0.60490275,-0.35617532
QAWPIO,-0.66092523,-0.41298225
CAVSUP,-0.50514751,-0.25745156
FUVDEH04,-0.50813067,-0.27744081
cm503311x_aloh225K,-0.57135641,-0.34319687
DICKEH,-0.56333375,-0.34479502
NEDWEA,-0.59252993,-0.38861367
UTEWUM,-0.50474872,-0.31798956
IBUDOZ,-0.53293451,-0.3491664
XAMDUM07,-0.58613194,-0.40834288
XAFXOT,-0.50657541,-0.32972166
GIJXAA,-0.51302872,-0.34213299
cg901128k_si_004,-0.57634536,-0.40614162
FUVDEH05,-0.55591219,-0.38657591
cm503311x_alf350K,-0.66123953,-0.49294593
