,architecture,method-family,method,val,mae,inf. time
0,SchNet,baseline,baseline,energy,1.014,2050
1,SchNet,s2ef,PhAST,energy,0.89,593
2,SchNet,s2ef,Direct,energy,0.716,455
3,SchNet,s2ef,Grad,energy,0.619,456
4,SchNet,s2ef,cos,energy,0.667,435
5,SchNet,s2ef,FH,energy,0.595,477
6,D++,baseline,baseline,energy,0.913,10189
7,D++,s2ef,PhAST,energy,0.813,1687
8,D++,s2ef,Direct,energy,0.663,1255
9,D++,s2ef,Grad,energy,0.659,1271
10,D++,s2ef,cos,energy,0.713,1092
11,D++,s2ef,FH,energy,0.636,1259
12,ForceNet,baseline,baseline,energy,0.721,4524
13,ForceNet,s2ef,FE,energy,0.765,9191
14,ForceNet,s2ef,PhAST,energy,0.607,1202
15,ForceNet,s2ef,Direct,energy,0.545,1202
16,ForceNet,s2ef,Grad,energy,0.654,1294
17,ForceNet,s2ef,cos,energy,0.7,1262
18,ForceNet,s2ef,FH,energy,0.542,1357
19,SchNet,baseline,baseline,force,70.6,2050
20,SchNet,s2ef,PhAST,force,68.4,593
21,SchNet,s2ef,Direct,force,81.2,455
22,SchNet,s2ef,Grad,force,79.9,456
23,SchNet,s2ef,cos,force,84.4,435
24,SchNet,s2ef,FH,force,77.2,477
25,D++,baseline,baseline,force,69.2,10189
26,D++,s2ef,PhAST,force,67.9,1687
27,D++,s2ef,Direct,force,83.7,1255
28,D++,s2ef,Grad,force,83.7,1271
29,D++,s2ef,cos,force,83.9,1092
30,D++,s2ef,FH,force,83.6,1259
31,ForceNet,baseline,baseline,force,68.6,4524
32,ForceNet,s2ef,FE,force,190,9191
33,ForceNet,s2ef,PhAST,force,65.1,1202
34,ForceNet,s2ef,Direct,force,65.1,1202
35,ForceNet,s2ef,Grad,force,78,1294
36,ForceNet,s2ef,cos,force,80.1,1262
37,ForceNet,s2ef,FH,force,63.9,1357
