,bulk_id,slab_comp,predicted_voltage_she
21464,oqmd-1374716,Ir-0.875-Ti-0.125,0.407117674184745
20936,oqmd-1128070,Mo-0.25-Nb-0.25-W-0.5,0.20041416500423181
21231,oqmd-1364912,Hf-0.125-Rh-0.875,0.11520195872074968
18648,mp-1186206,Mo-0.25-Nb-0.5-Ru-0.25,-0.19249712363214033
18649,mp-1186209,Nb-0.5-Ru-0.25-Tc-0.25,-0.2871107580224589
18645,mp-1186200,Cr-0.25-Nb-0.5-Ru-0.25,-0.3483266306526104
23250,oqmd-392931,Nb-0.25-Ru-0.25-V-0.5,-0.4683904119750434
23120,oqmd-314566,Ag-0.75-Cd-0.25,-0.47459105134229274
18674,mp-1187196,Ir-0.25-Ta-0.75,-0.49696913488647765
4803,dcgat-agm002153689,H-0.667-Ru-0.111-Zn-0.222,-0.5353442849261102
23344,oqmd-473176,Mn-0.5-Ni-0.25-Pt-0.25,-0.5781943189331277
21740,oqmd-1478686,Co-0.25-Fe-0.25-Pt-0.5,-0.5937880502581644
22557,oqmd-1625920,Ir-0.25-Mo-0.25-Rh-0.5,-0.6656962248789581
22633,oqmd-1626083,Ir-0.375-Os-0.375-W-0.25,-0.7003845766007638
22684,oqmd-1626135,Os-0.25-Rh-0.5-W-0.25,-0.7850171585937525
21321,oqmd-1368290,Fe-0.375-Pt-0.625,-0.7892385272834787
22224,oqmd-1571564,Ir-0.5-Rh-0.25-Ti-0.25,-0.8004258688870544
18677,mp-1187206,Ta-0.75-W-0.25,-0.8044053891232689
19371,mp-13463,Fe-0.25-Ni-0.25-Pt-0.5,-0.8867366205668287
23199,oqmd-344708,Rh-0.75-Sn-0.25,-0.898315290496068
23161,oqmd-323507,Cr-0.25-Os-0.75,-0.9027863161215585
19821,mp-30361,Ag-0.385-Zn-0.615,-0.9077386866821228
23275,oqmd-447729,Mo-0.5-V-0.25-W-0.25,-0.9108699799407475
19549,mp-20456,Co-0.429-Se-0.571,-0.9194597978527289
21489,oqmd-1375267,Bi-0.125-Pd-0.875,-0.9342370741214913
23404,oqmd-516658,Au-0.5-Cu-0.25-Ga-0.25,-0.9465847738150833
23336,oqmd-472683,Ga-0.25-Mn-0.5-Zn-0.25,-0.9532597712374963
4805,dcgat-agm002153716,Ge-0.111-H-0.889,-0.9562332400188632
22148,oqmd-1556884,Au-0.667-Cu-0.167-Mn-0.167,-0.9620401337284238
19935,mp-432,Nb-0.5-Ru-0.5,-0.9712433949129157
23411,oqmd-520732,Ga-0.5-Mn-0.25-Tc-0.25,-0.9798329816137358
23256,oqmd-393713,Co-0.25-Mo-0.25-V-0.5,-0.9847245648742752
9884,dcgat-agm003188144,In-0.25-Mn-0.25-Pt-0.5,-0.9982794009237524
23304,oqmd-459149,Ir-0.5-Mn-0.25-Sn-0.25,-1.0043300132825506
18237,mp-1030108,Mo-0.083-Te-0.667-W-0.25,-1.0047989833707907
21858,oqmd-1494866,Mn-0.375-Pd-0.375-Pt-0.25,-1.0105323798988053
6389,dcgat-agm002376673,Ag-0.25-Mn-0.25-Pd-0.5,-1.0135336388009053
6572,dcgat-agm002493940,Cu-0.2-H-0.2-Pt-0.6,-1.0168405619999556
18509,mp-11501,Mn-0.25-Ni-0.75,-1.0247480436230436
21862,oqmd-1494870,Mn-0.375-Pd-0.25-Pt-0.375,-1.0285376953800829
18387,mp-1095507,Ir-0.333-Sb-0.333-Se-0.333,-1.0289584648153887
20113,mp-600124,Mn-0.333-Ni-0.333-Sb-0.333,-1.0294057005151203
20961,oqmd-1222216,Cu-0.5-Se-0.5,-1.031467204509743
18058,dcgat-agm003774798,Au-0.75-Cr-0.125-In-0.125,-1.0320860652663582
19733,mp-2480,Os-0.333-Se-0.667,-1.0321460699598446
5059,dcgat-agm002183072,Cd-0.5-S-0.5,-1.034122332686275
20246,mp-758104,Mn-0.344-Pd-0.656,-1.0376249115794978
5105,dcgat-agm002185503,Hg-0.143-Se-0.571-Tl-0.286,-1.0413834540021103
5101,dcgat-agm002185494,Cd-0.143-Se-0.571-Tl-0.286,-1.046334729994459
7050,dcgat-agm003062314,Cu-0.25-Se-0.5-Zn-0.25,-1.04863955129197
4802,dcgat-agm002153688,H-0.667-Os-0.111-Zn-0.222,-1.0536270930300664
18570,mp-1183635,Cd-0.75-Pd-0.25,-1.0542551855464266
5220,dcgat-agm002193870,Se-0.571-Tl-0.286-Zn-0.143,-1.0568232747636017
5073,dcgat-agm002184996,Se-1.0,-1.0569283503552294
21011,oqmd-1277647,Ag-0.25-Se-0.5-Tl-0.25,-1.0569636624857153
23291,oqmd-451912,Cd-0.25-Rh-0.5-Sb-0.25,-1.059952288797569
3801,dcgat-agm002019659,Se-1.0,-1.060429916563689
19930,mp-417,Mn-0.5-Rh-0.5,-1.06122086095065
21993,oqmd-1520897,Cu-0.5-Mn-0.25-Pd-0.25,-1.0621572599337883
22621,oqmd-1625991,Co-0.375-Cr-0.25-Os-0.375,-1.063147240809017
20485,mp-971909,Pd-0.75-Zn-0.25,-1.0640649607716095
19305,mp-1228810,As-0.333-Ir-0.333-Se-0.333,-1.066092690099321
16171,dcgat-agm003627208,Ag-0.25-Se-0.5-Tl-0.25,-1.068543401338593
10206,dcgat-agm003191350,Au-0.5-Cu-0.25-Mn-0.25,-1.0697027320341257
17432,dcgat-agm003741847,Ag-0.167-Au-0.667-Mn-0.167,-1.0700252284349325
6723,dcgat-agm002923948,Ag-0.2-H-0.4-Pt-0.4,-1.070552284719923
22653,oqmd-1626103,Ir-0.25-Rh-0.5-W-0.25,-1.0705920994988243
7631,dcgat-agm003143183,Ag-0.25-Se-0.5-Tl-0.25,-1.0715481936608096
6490,dcgat-agm002487107,H-0.2-In-0.2-Pt-0.6,-1.073242664028494
18319,mp-1078755,Pt-0.75-Sb-0.25,-1.0744434063808619
21303,oqmd-1367641,Au-0.4-Hg-0.2-Se-0.4,-1.0762035572129798
11176,dcgat-agm003201183,Se-0.5-Tl-0.5,-1.0776735914290003
3802,dcgat-agm002019668,Se-1.0,-1.0793977832979307
12516,dcgat-agm003282913,Ag-0.4-Hg-0.2-Se-0.4,-1.0795212528971057
8511,dcgat-agm003167991,Ag-0.25-Pb-0.25-Se-0.5,-1.0795272243940253
11791,dcgat-agm003224862,Ge-0.2-H-0.8,-1.0798252005916442
21615,oqmd-1441866,Cu-0.5-Se-0.5,-1.0804738240380618
4078,dcgat-agm002069646,As-0.333-H-0.667,-1.0805252687489237
2179,dcgat-agm001611223,Au-0.2-H-0.2-Pd-0.2-Pt-0.4,-1.080670644588365
20700,oqmd-1013562,Cd-0.25-In-0.25-Pd-0.5,-1.082184750744612
3452,dcgat-agm001654010,Cr-0.2-H-0.2-Pd-0.4-Pt-0.2,-1.0825202675225603
