sample id,source,batch number,batch date,composition,post processing id,rep,total reps,reaction,current density,voltage,fe_h2,fe_co,fe_ch4,fe_c2h4,fe_gas_total,fe_liquid
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,CO2R,150.0,0.14316952178371972,2.010840590127241,4.023937435048473,0.0019417289820534522,0.0008111355589920426,2.012906284518439,2.012906282691056
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,CO2R,100.0,0.09487174562506033,3.3837090964764958,3.5671723507815742,0.001385214416245009,0.0,2.0928568094462356,2.092856809446238
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,CO2R,100.0,3.158541184,31.079118626666666,55.95039293,0.012292901,0.0,87.04394638000001,12.95605362
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,CO2R,50.0,0.10367368986597028,6.321417240388412,4.208895642578382,0.007329865966084668,0.0,2.162559051897787,2.1625590518977917
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,CO2R,50.0,2.8610540610000004,42.77302308333333,42.51473477333334,0.012476377666666668,0.0,85.30122281333333,14.698777186666668
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,CO2R,200.0,3.4768100133333335,24.73016803,65.09823182666668,0.013485496333333333,0.003161089,89.84702360666667,10.152976393000001
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,CO2R,150.0,3.321681319,29.148688333333336,62.025212833333335,0.011742472666666665,0.0004683093333333333,91.18808911666667,8.811910885333333
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,HER,50.0,0.1205861416168261,0.0,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,HER,50.0,2.4650627633333335,,,,,,
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,avg,3.0,CO2R,300.0,3.622443467666667,56.57745506333333,23.0099869,0.021833660666666668,0.012316539666666668,79.62373409333333,20.376265906666667
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,CO2R,300.0,0.13465435328166,7.5410249622846965,2.8444457719148994,0.003973434130193345,0.0036211559070081934,5.012523772578567,5.012523772578566
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,std,3.0,CO2R,200.0,0.15120602216817325,1.5835594965488793,4.856598915128422,0.002710545632523152,0.0018730918472672396,6.011157658799504,6.011157660222052
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,300.0,3.546526605,61.60915692,20.26031434,0.021283232,0.012925342,81.90615129,18.09384871
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,200.0,3.308212718,23.04756325,60.06630648,0.01568721,0.001685914,83.13371431,16.86628569
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,150.0,3.161059159,30.51790161,59.28781925,0.013210282,0.0,89.82123784,10.17876216
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,HER,50.0,2.329372471,,,,,,
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,100.0,3.052599973,34.72640147,53.64194499,0.012109425,0.0,88.38292734,11.61707266
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,50.0,2.74228211,48.14538911,38.6345776,0.008806855,0.0,86.78877356,13.21122644
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,CO2R,50.0,2.907472704,44.36627676,41.92043222,0.007705998,0.0,86.29441498,13.70558502
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,CO2R,200.0,3.52180885,26.19138295,65.47028487,0.01045814,0.002528871,91.67638486,8.323615144
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,CO2R,300.0,3.54288906,47.90704974,25.94056974,0.018164138,0.008429571,73.87619036,26.12380964
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,HER,50.0,2.505850083,,,,,,
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,CO2R,150.0,3.368111678,30.08809559,60.14243615,0.009540759,0.001404928,90.24345459,9.756545412
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,CO2R,100.0,3.187366542,30.46893637,54.1502947,0.011008568,0.0,84.63221679,15.36778321
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,3,,HER,50.0,2.559965736,,,,,,
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,3,,CO2R,100.0,3.235657037,28.04201804,60.0589391,0.01376071,0.0,88.11669501,11.88330499
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,3,,CO2R,300.0,3.777914738,60.21615853,22.82907662,0.026053612,0.015594706,83.08886063,16.91113937
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,3,,CO2R,200.0,3.600408472,24.95155789,69.75810413,0.014311139,0.005268482,94.73097165,5.269028345
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,3,,CO2R,150.0,3.43587312,26.8400678,66.6453831,0.012476377,0.0,93.49957492,6.500425084
uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep3,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,3,,CO2R,50.0,2.933407369,35.80740338,46.9891945,0.02091628,0.0,82.8204799,17.1795201
uoft4_240405_Ag-0.2-Pd-0.8_pp0,uoft,4,240405,Ag-0.2-Pd-0.8,pp0,std,3.0,HER,50.0,0.04239029239248127,0.0,0.0,0.0,0.0,0.0,0.0
uoft4_240405_Ag-0.2-Pd-0.8_pp0,uoft,4,240405,Ag-0.2-Pd-0.8,pp0,avg,3.0,CO2R,50.0,2.9970331053333332,54.14551465666667,27.038310413333335,0.03192484833333333,0.0,81.22069283,18.77930717
uoft4_240405_Ag-0.2-Pd-0.8_pp0,uoft,4,240405,Ag-0.2-Pd-0.8,pp0,avg,3.0,HER,50.0,2.4543363856666667,,,,,,
