,sample id,source,batch number,batch date,composition,post processing id,rep,total reps,reaction,current density,voltage,fe_h2,fe_co,fe_ch4,fe_c2h4,fe_gas_total,fe_liquid,xrf comp
0,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,300.0,3.546526605,61.60915692,20.26031434,0.021283232,0.012925342,81.90615129,18.09384871,Ag-0.129-Cu-0.083-Pd-0.788
1,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,200.0,3.308212718,23.04756325,60.06630648,0.01568721,0.001685914,83.13371431,16.86628569,Ag-0.129-Cu-0.083-Pd-0.788
2,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,150.0,3.161059159,30.51790161,59.28781925,0.013210282,0.0,89.82123784,10.17876216,Ag-0.129-Cu-0.083-Pd-0.788
3,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,HER,50.0,2.329372471,,,,,,,Ag-0.129-Cu-0.083-Pd-0.788
4,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,100.0,3.052599973,34.72640147,53.64194499,0.012109425,0.0,88.38292734,11.61707266,Ag-0.129-Cu-0.083-Pd-0.788
5,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,1,,CO2R,50.0,2.74228211,48.14538911,38.6345776,0.008806855,0.0,86.78877356,13.21122644,Ag-0.129-Cu-0.083-Pd-0.788
6,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,CO2R,50.0,2.907472704,44.36627676,41.92043222,0.007705998,0.0,86.29441498,13.70558502,Ag-0.129-Cu-0.083-Pd-0.788
7,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,CO2R,200.0,3.52180885,26.19138295,65.47028487,0.01045814,0.002528871,91.67638486,8.323615144,Ag-0.129-Cu-0.083-Pd-0.788
8,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,CO2R,300.0,3.54288906,47.90704974,25.94056974,0.018164138,0.008429571,73.87619036,26.12380964,Ag-0.129-Cu-0.083-Pd-0.788
9,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,HER,50.0,2.505850083,,,,,,,Ag-0.129-Cu-0.083-Pd-0.788
10,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0,2,,CO2R,150.0,3.368111678,30.08809559,60.14243615,0.009540759,0.001404928,90.24345459,9.756545412,Ag-0.129-Cu-0.083-Pd-0.788
