xrd dir,sample id,source,batch number,batch date,target comp,xrf comp,xrf offset,xrf stdev,allsolutions_cifids,allsolutions_formulas,allsolutions_weights,allsolutions_rwp,total no of solutions,solutions_target_cifids,solutions_target_qrankings,solutions_target_qscore,solutions_target_formulas,solutions_target_rwp,solutions_target_wt,solutions_target_rankings
vsp1_240503\/raw\/vsp1_240503_Ag-0.111-Au-0.889_pp0_rep1.xy,vsp1_240503_Ag-0.111-Au-0.889_pp0_rep1,vsp,1,240503,Ag-0.111-Au-0.889,Ag-0.18-Au-0.82,"[-0.069, 0.069]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['dcgat-agm003194886', 'dcgat-agm003157171', 'mp-2646971']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.8-Au-0.2', 'Au-1.0', 'Ag-1.0']]","[[1.0], [0.0, 1.0], [0.0, 0.0, 1.0]]","[37.2, 47.2, 48.1]",3,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.167-Au-0.833_pp0_rep1.xy,vsp1_240503_Ag-0.167-Au-0.833_pp0_rep1,vsp,1,240503,Ag-0.167-Au-0.833,Ag-0.27-Au-0.73,"[-0.103, 0.103]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 1.0]]","[38.0, 49.2]",2,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.188-Au-0.812_pp0_rep1.xy,vsp1_240503_Ag-0.188-Au-0.812_pp0_rep1,vsp,1,240503,Ag-0.188-Au-0.812,Ag-0.29-Au-0.71,"[-0.102, 0.102]","[0.02, 0.02, 0]","[['cod-1509205'], ['dcgat-agm003194877', 'dcgat-agm003157171', 'mp-2646971'], ['dcgat-agm003194886', 'dcgat-agm003157171', 'mp-2646971'], ['dcgat-agm003172256', 'dcgat-agm003157171'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0', 'Ag-1.0'], ['Ag-0.8-Au-0.2', 'Au-1.0', 'Ag-1.0'], ['Ag-0.25-Au-0.75', 'Au-1.0'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 0.0, 1.0], [0.0, 0.0, 1.0], [0.0, 1.0], [0.0, 1.0]]","[29.3, 42.9, 43.7, 44.4, 44.6]",5,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.2-Au-0.8_pp0_rep1.xy,vsp1_240503_Ag-0.2-Au-0.8_pp0_rep1,vsp,1,240503,Ag-0.2-Au-0.8,Ag-0.3-Au-0.7,"[-0.1, 0.1]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['dcgat-agm003194886', 'dcgat-agm003157171', 'mp-2646971']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.8-Au-0.2', 'Au-1.0', 'Ag-1.0']]","[[1.0], [0.0, 1.0], [0.0, 0.0, 1.0]]","[37.1, 46.0, 47.4]",3,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.222-Au-0.778_pp0_rep1.xy,vsp1_240503_Ag-0.222-Au-0.778_pp0_rep1,vsp,1,240503,Ag-0.222-Au-0.778,Ag-0.31-Au-0.69,"[-0.088, 0.088]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['dcgat-agm003194886', 'dcgat-agm003157171', 'mp-2646971']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.8-Au-0.2', 'Au-1.0', 'Ag-1.0']]","[[1.0], [0.0, 1.0], [0.0, 0.02, 0.98]]","[32.6, 45.4, 47.1]",3,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.25-Au-0.75_pp0_rep1.xy,vsp1_240503_Ag-0.25-Au-0.75_pp0_rep1,vsp,1,240503,Ag-0.25-Au-0.75,Ag-0.34-Au-0.66,"[-0.09, 0.09]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 1.0]]","[33.9, 45.7]",2,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.286-Au-0.714_pp0_rep1.xy,vsp1_240503_Ag-0.286-Au-0.714_pp0_rep1,vsp,1,240503,Ag-0.286-Au-0.714,Ag-0.35-Au-0.65,"[-0.064, 0.064]","[0.02, 0.02, 0]","[['cod-1509205'], ['dcgat-agm003194886', 'dcgat-agm003157171', 'mp-2646971'], ['dcgat-agm003194878', 'dcgat-agm003157171'], ['oqmd-1340071', 'dcgat-agm003157171', 'mp-2646971']]","[['Ag-0.5-Au-0.5'], ['Ag-0.8-Au-0.2', 'Au-1.0', 'Ag-1.0'], ['Ag-0.2-Au-0.8', 'Au-1.0'], ['Ag-0.75-Au-0.25', 'Au-1.0', 'Ag-1.0']]","[[1.0], [0.0, 0.0, 1.0], [0.0, 1.0], [0.01, 0.01, 0.97]]","[34.9, 47.2, 47.6, 48.5]",4,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.333-Au-0.667_pp0_rep1.xy,vsp1_240503_Ag-0.333-Au-0.667_pp0_rep1,vsp,1,240503,Ag-0.333-Au-0.667,Ag-0.39-Au-0.61,"[-0.057, 0.057]","[0.0, 0.0, 0]","[['cod-1509205'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 1.0]]","[33.4, 47.8]",2,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.375-Au-0.625_pp0_rep1.xy,vsp1_240503_Ag-0.375-Au-0.625_pp0_rep1,vsp,1,240503,Ag-0.375-Au-0.625,Ag-0.44-Au-0.56,"[-0.065, 0.065]","[0.01, 0.01, 0]","[['cod-1509205'], ['mp-2646971', 'dcgat-agm003157171', 'dcgat-agm003172663'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-1.0', 'Au-1.0', 'Ag-0.25-Au-0.75'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.99, 0.0, 0.01], [0.0, 1.0]]","[36.9, 47.7, 48.9]",3,[],[0],0.0,[],[],[],[]
vsp1_240503\/raw\/vsp1_240503_Ag-0.4-Au-0.6_pp0_rep1.xy,vsp1_240503_Ag-0.4-Au-0.6_pp0_rep1,vsp,1,240503,Ag-0.4-Au-0.6,Ag-0.44-Au-0.56,"[-0.04, 0.04]","[0.01, 0.01, 0]","[['cod-1509205'], ['dcgat-agm003194886', 'dcgat-agm003157171', 'mp-2646971'], ['dcgat-agm003194878', 'dcgat-agm003157171']]","[['Ag-0.5-Au-0.5'], ['Ag-0.8-Au-0.2', 'Au-1.0', 'Ag-1.0'], ['Ag-0.2-Au-0.8', 'Au-1.0']]","[[1.0], [0.0, 0.03, 0.97], [0.0, 1.0]]","[35.1, 48.8, 49.6]",3,[],[0],0.0,[],[],[],[]
