,sample id,source,batch number,batch date,target composition,post processing id
0,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep1,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0
1,uoft4_240405_Ag-0.2-Pd-0.8_pp0_rep1,uoft,4,240405,Ag-0.2-Pd-0.8,pp0
2,uoft4_240405_Ag-0.222-Cu-0.333-Pd-0.444_pp0_rep1,uoft,4,240405,Ag-0.222-Cu-0.333-Pd-0.444,pp0
3,uoft4_240405_Ag-0.25-Au-0.25-Pd-0.5_pp0_rep1,uoft,4,240405,Ag-0.25-Au-0.25-Pd-0.5,pp0
4,uoft4_240405_Ag-0.333-Pd-0.667_pp0_rep1,uoft,4,240405,Ag-0.333-Pd-0.667,pp0
5,uoft4_240405_Ag-0.4-Pd-0.6_pp0_rep1,uoft,4,240405,Ag-0.4-Pd-0.6,pp0
6,uoft4_240405_Ag-0.429-Pd-0.571_pp0_rep1,uoft,4,240405,Ag-0.429-Pd-0.571,pp0
7,uoft4_240405_Ag-0.444-Pd-0.556_pp0_rep1,uoft,4,240405,Ag-0.444-Pd-0.556,pp0
8,uoft4_240405_Ag-0.5-Au-0.5_pp0_rep1,uoft,4,240405,Ag-0.5-Au-0.5,pp0
9,uoft4_240405_Ag-0.5-Cu-0.25-Pd-0.25_pp0_rep1,uoft,4,240405,Ag-0.5-Cu-0.25-Pd-0.25,pp0
10,uoft4_240405_Ag-0.5-Pd-0.5_pp0_rep1,uoft,4,240405,Ag-0.5-Pd-0.5,pp0
11,uoft4_240405_Ag-0.556-Pd-0.444_pp0_rep1,uoft,4,240405,Ag-0.556-Pd-0.444,pp0
12,uoft4_240405_Ag-0.625-Pd-0.375_pp0_rep1,uoft,4,240405,Ag-0.625-Pd-0.375,pp0
13,uoft4_240405_Ag-0.667-Pd-0.333_pp0_rep1,uoft,4,240405,Ag-0.667-Pd-0.333,pp0
14,uoft4_240405_Ag-0.75-Pd-0.25_pp0_rep1,uoft,4,240405,Ag-0.75-Pd-0.25,pp0
15,uoft4_240405_Ag-0.833-Cu-0.167_pp0_rep1,uoft,4,240405,Ag-0.833-Cu-0.167,pp0
16,uoft4_240405_Ag-0.833-Pd-0.167_pp0_rep1,uoft,4,240405,Ag-0.833-Pd-0.167,pp0
17,uoft4_240405_Ag-0.889-Cu-0.111_pp0_rep1,uoft,4,240405,Ag-0.889-Cu-0.111,pp0
18,uoft4_240405_Ag-0.889-Hg-0.111_pp0_rep1,uoft,4,240405,Ag-0.889-Hg-0.111,pp0
19,uoft4_240405_Ag-1.0_pp0_rep1,uoft,4,240405,Ag-1.0,pp0
20,uoft4_240405_Au-0.2-Cu-0.8_pp0_rep1,uoft,4,240405,Au-0.2-Cu-0.8,pp0
21,uoft4_240405_Au-0.25-Cu-0.75_pp0_rep1,uoft,4,240405,Au-0.25-Cu-0.75,pp0
22,uoft4_240405_Au-0.333-Tl-0.667_pp0_rep1,uoft,4,240405,Au-0.333-Tl-0.667,pp0
23,uoft4_240405_Au-0.429-Cu-0.571_pp0_rep1,uoft,4,240405,Au-0.429-Cu-0.571,pp0
24,uoft4_240405_Au-0.5-Cu-0.5_pp0_rep1,uoft,4,240405,Au-0.5-Cu-0.5,pp0
25,uoft4_240405_Au-0.5-Pd-0.5_pp0_rep1,uoft,4,240405,Au-0.5-Pd-0.5,pp0
26,uoft4_240405_Au-0.556-Cu-0.444_pp0_rep1,uoft,4,240405,Au-0.556-Cu-0.444,pp0
27,uoft4_240405_Au-0.6-Cu-0.4_pp0_rep1,uoft,4,240405,Au-0.6-Cu-0.4,pp0
28,uoft4_240405_Au-0.75-Cu-0.25_pp0_rep1,uoft,4,240405,Au-0.75-Cu-0.25,pp0
29,uoft4_240405_Au-0.8-Cu-0.2_pp0_rep1,uoft,4,240405,Au-0.8-Cu-0.2,pp0
30,uoft4_240405_Cu-0.111-Pd-0.889_pp0_rep1,uoft,4,240405,Cu-0.111-Pd-0.889,pp0
31,uoft4_240405_Cu-0.125-Pd-0.875_pp0_rep1,uoft,4,240405,Cu-0.125-Pd-0.875,pp0
32,uoft4_240405_Cu-0.167-Pd-0.833_pp0_rep1,uoft,4,240405,Cu-0.167-Pd-0.833,pp0
33,uoft4_240405_Cu-0.25-Pd-0.75_pp0_rep1,uoft,4,240405,Cu-0.25-Pd-0.75,pp0
34,uoft4_240405_Cu-0.333-Pd-0.667_pp0_rep1,uoft,4,240405,Cu-0.333-Pd-0.667,pp0
35,uoft4_240405_Cu-0.375-Pd-0.625_pp0_rep1,uoft,4,240405,Cu-0.375-Pd-0.625,pp0
36,uoft4_240405_Cu-0.444-Pd-0.556_pp0_rep1,uoft,4,240405,Cu-0.444-Pd-0.556,pp0
37,uoft4_240405_Cu-0.5-Pd-0.5_pp0_rep1,uoft,4,240405,Cu-0.5-Pd-0.5,pp0
38,uoft4_240405_Cu-0.556-Pd-0.444_pp0_rep1,uoft,4,240405,Cu-0.556-Pd-0.444,pp0
39,uoft4_240405_Cu-0.75-Pd-0.25_pp0_rep1,uoft,4,240405,Cu-0.75-Pd-0.25,pp0
40,uoft4_240405_Cu-0.8-Pd-0.2_pp0_rep1,uoft,4,240405,Cu-0.8-Pd-0.2,pp0
41,uoft4_240405_Cu-1.0_pp0_rep1,uoft,4,240405,Cu-1.0,pp0
42,uoft4_240405_Hg-0.5-Pd-0.5_pp0_rep1,uoft,4,240405,Hg-0.5-Pd-0.5,pp0
43,uoft4_240405_Pd-0.333-Tl-0.667_pp0_rep1,uoft,4,240405,Pd-0.333-Tl-0.667,pp0
44,uoft4_240405_Pd-0.591-Tl-0.409_pp0_rep1,uoft,4,240405,Pd-0.591-Tl-0.409,pp0
45,uoft4_240405_Pd-0.75-Tl-0.25_pp0_rep1,uoft,4,240405,Pd-0.75-Tl-0.25,pp0
46,uoft4_240405_Pd-1.0_pp0_rep1,uoft,4,240405,Pd-1.0,pp0
47,uoft4_240405_Rh-1.0_pp0_rep1,uoft,4,240405,Rh-1.0,pp0
48,uoft4_240405_Ag-0.125-Cu-0.125-Pd-0.75_pp0_rep2,uoft,4,240405,Ag-0.125-Cu-0.125-Pd-0.75,pp0
49,uoft4_240405_Ag-0.2-Pd-0.8_pp0_rep2,uoft,4,240405,Ag-0.2-Pd-0.8,pp0
50,uoft4_240405_Ag-0.222-Cu-0.333-Pd-0.444_pp0_rep2,uoft,4,240405,Ag-0.222-Cu-0.333-Pd-0.444,pp0
51,uoft4_240405_Ag-0.25-Au-0.25-Pd-0.5_pp0_rep2,uoft,4,240405,Ag-0.25-Au-0.25-Pd-0.5,pp0
52,uoft4_240405_Ag-0.333-Pd-0.667_pp0_rep2,uoft,4,240405,Ag-0.333-Pd-0.667,pp0
53,uoft4_240405_Ag-0.4-Pd-0.6_pp0_rep2,uoft,4,240405,Ag-0.4-Pd-0.6,pp0
54,uoft4_240405_Ag-0.429-Pd-0.571_pp0_rep2,uoft,4,240405,Ag-0.429-Pd-0.571,pp0
55,uoft4_240405_Ag-0.444-Pd-0.556_pp0_rep2,uoft,4,240405,Ag-0.444-Pd-0.556,pp0
56,uoft4_240405_Ag-0.5-Au-0.5_pp0_rep2,uoft,4,240405,Ag-0.5-Au-0.5,pp0
57,uoft4_240405_Ag-0.5-Cu-0.25-Pd-0.25_pp0_rep2,uoft,4,240405,Ag-0.5-Cu-0.25-Pd-0.25,pp0
58,uoft4_240405_Ag-0.5-Pd-0.5_pp0_rep2,uoft,4,240405,Ag-0.5-Pd-0.5,pp0
59,uoft4_240405_Ag-0.556-Pd-0.444_pp0_rep2,uoft,4,240405,Ag-0.556-Pd-0.444,pp0
60,uoft4_240405_Ag-0.625-Pd-0.375_pp0_rep2,uoft,4,240405,Ag-0.625-Pd-0.375,pp0
61,uoft4_240405_Ag-0.667-Pd-0.333_pp0_rep2,uoft,4,240405,Ag-0.667-Pd-0.333,pp0
62,uoft4_240405_Ag-0.75-Pd-0.25_pp0_rep2,uoft,4,240405,Ag-0.75-Pd-0.25,pp0
63,uoft4_240405_Ag-0.833-Cu-0.167_pp0_rep2,uoft,4,240405,Ag-0.833-Cu-0.167,pp0
64,uoft4_240405_Ag-0.833-Pd-0.167_pp0_rep2,uoft,4,240405,Ag-0.833-Pd-0.167,pp0
65,uoft4_240405_Ag-0.889-Cu-0.111_pp0_rep2,uoft,4,240405,Ag-0.889-Cu-0.111,pp0
66,uoft4_240405_Ag-0.889-Hg-0.111_pp0_rep2,uoft,4,240405,Ag-0.889-Hg-0.111,pp0
67,uoft4_240405_Ag-1.0_pp0_rep2,uoft,4,240405,Ag-1.0,pp0
68,uoft4_240405_Au-0.2-Cu-0.8_pp0_rep2,uoft,4,240405,Au-0.2-Cu-0.8,pp0
69,uoft4_240405_Au-0.25-Cu-0.75_pp0_rep2,uoft,4,240405,Au-0.25-Cu-0.75,pp0
70,uoft4_240405_Au-0.333-Tl-0.667_pp0_rep2,uoft,4,240405,Au-0.333-Tl-0.667,pp0
71,uoft4_240405_Au-0.429-Cu-0.571_pp0_rep2,uoft,4,240405,Au-0.429-Cu-0.571,pp0
72,uoft4_240405_Au-0.5-Cu-0.5_pp0_rep2,uoft,4,240405,Au-0.5-Cu-0.5,pp0
