sample id,source,batch number,batch date,rod1,rod2,rod3,rod1 diameter (mm),rod2 diameter (mm),rod3 diameter (mm),voltage1 (kV),current1 (mA),voltage2 (kV),curren2 (mA),voltage3 (kV),current3 (mA),speed (um/s),wafer spot,,
vsp1_240503_Ag-1.0_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,,,,,270,1,,
vsp1_240503_Ag-0.111-Au-0.889_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,4.62,1.30,10.00,,,1980,2,,
vsp1_240503_Ag-0.167-Au-0.833_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,7.41,1.30,10.00,,,2060,3,,
vsp1_240503_Ag-0.188-Au-0.812_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,8.56,1.30,10.00,,,2090,4,,
vsp1_240503_Ag-0.222-Au-0.778_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,9.48,,,2030,5,,
vsp1_240503_Ag-0.25-Au-0.75_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,8.11,,,1780,6,,
vsp1_240503_Ag-0.286-Au-0.714_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,6.75,,,1530,7,,
vsp1_240503_Ag-0.2-Au-0.8_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,9.24,1.30,10.00,,,2110,8,,
vsp1_240503_Ag-0.333-Au-0.667_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,5.42,,,1280,9,,
vsp1_240503_Ag-0.375-Au-0.625_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,4.51,,,1110,10,,
vsp1_240503_Ag-0.417-Au-0.583_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,3.78,,,980,11,,
vsp1_240503_Ag-0.429-Au-0.571_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,3.60,,,940,12,,
vsp1_240503_Ag-0.444-Au-0.556_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,3.39,,,900,13,,
vsp1_240503_Ag-0.4-Au-0.6_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,4.06,,,1030,14,,
vsp1_240503_Ag-0.556-Au-0.444_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,2.16,,,680,15,,
vsp1_240503_Ag-0.583-Au-0.417_pp0_rep1,vsp,1,240503,Ag,Au,,3,2,,1.30,10.00,1.30,1.93,,,630,16,,
