Name,Eads_CO2/eV,Eads_H2O/eV
AFENEE_0.12_0,-1.8604061,-0.343613
OKIXIQ_charged_0.12_0,-1.29016736,-0.08806893
IDAGEA_charged_0.06_1,-1.1837913,-0.25041431
PEGCAH_0.06_0,-1.59799587,-0.76504061
COTXEQ_0.12_0,-0.59954008,0.14500798
ODAHIK_charged_0.12_0,-1.01871438,-0.30376741
HUWDEJ_0.12_0,-1.3639729,-0.65000038
HAJLUA_0.16_0,-0.93315007,-0.25807212
HAJLOU_0.16_0,-1.02060767,-0.35283537
MALRUM_0.04_0,-1.2883592,-0.65299455
XENCAU_0.06_0,-1.03068644,-0.41050422
MALRUM_0.08_0,-1.20957822,-0.59876657
UFASEA_ion_b_0.05_1,-1.02386141,-0.49480973
KEDJAG18_0.08_0,-0.61522972,-0.1512876
NOKJON_0.12_0,-1.29782283,-0.84049576
XADDIR_manual_0.12_0,-1.02882141,-0.5949494
EXALAR_0.12_0,-0.88885282,-0.50125956
EBIPOX_0.06_1,-0.75989756,-0.41890649
POLDUQ_0.06_0,-0.69591103,-0.35809468
CUGVUW_0.16_0,-1.13674243,-0.81549471
YIXYUB_0.06_0,-0.69928073,-0.4072831
REDROI_0.08_0,-0.62639982,-0.3425911
PEPKOL_0.08_1,-0.62062671,-0.34529715
OSILOS_charged_0.06_0,-0.50388329,-0.24226868
YOYREL_0.16_0,-0.95604152,-0.70071687
SUJNUH_0.12_0,-0.9332317,-0.68472874
IKETOH_manual_0.12_0,-0.88721842,-0.65463503
LUYHAP_0.16_0,-0.58281982,-0.36840092
CUVGIK_0.16_0,-0.79776474,-0.58545121
KOJZIT_0.16_0,-0.5001631,-0.2879098
MIMFOF_0.03_1,-0.96884434,-0.75689874
XUYXAR_0.12_0,-0.71232993,-0.5022811
HAJLIO_0.08_0,-0.86602134,-0.65744947
ARINUL_0.12_0,-1.09196995,-0.90383719
VUKROK_0.16_0,-0.58051907,-0.40523957
SADMUH_SL_0.06_0,-0.62349521,-0.45193076
HAJMAH_0.16_0,-0.74066846,-0.56947921
HOZFIN_0.08_0,-0.99301202,-0.82197851
COKQEA_0.11_0,-0.83271084,-0.66698913
NIRKAB_0.05_0,-0.83398073,-0.67740591
HAJLEK_0.16_0,-0.97383605,-0.82229573
MITTAL_charged_0.16_0,-0.95140508,-0.81075416
BIMDEF_0.08_0,-0.60452105,-0.46904804
MIMFOF_0.1_1,-0.88879592,-0.75913078
VUHJAK_0.08_0,-0.70182593,-0.57235779
BETGEO_0.12_0,-0.96067881,-0.83486893
PEPKUR_0.16_0,-0.76212593,-0.63713956
HOWQEQ_0.08_0,-0.60809594,-0.4848345
NEVQAH_charged_0.06_0,-0.61141589,-0.49264921
YOYRAH_0.16_0,-0.5203657,-0.40530189
AMILOY_0.04_0,-0.50935419,-0.40146593
XAFXOT_0.16_0,-0.57446938,-0.46845761
SOYWOT_neutral_b_0.12_0,-0.61585712,-0.51313309
AXUBOL_0.05_0,-0.8489991,-0.74640112
NIGBOW_0.16_0,-0.68710471,-0.58828159
VANXUD_0.04_0,-0.71718281,-0.62048119
NABMUA01_0.16_0,-0.61319231,-0.51991789
LOXWAY_0.04_0,-0.51570058,-0.42265894
SONVEX_neutral_b_0.06_0,-0.51521051,-0.42417078
NABMUA_0.16_0,-0.63825022,-0.54765182
PEPLAY_0.12_0,-0.708472,-0.61892082
